ID,Prix,Quantite,Remise,CA_Brut,CA_Net,TVA
180,20.24,1,15,20.24,17.203999999999997,3.4407999999999994
181,87.41,13,15,1136.33,965.8804999999999,193.1761
182,50.16,12,20,601.92,481.536,96.30720000000001
183,48.76,16,10,780.16,702.144,140.4288
184,23.22,4,20,92.88,74.304,14.860800000000001
185,68.17,15,15,1022.5500000000001,869.1675,173.83350000000002
186,38.18,1,5,38.18,36.271,7.254200000000001
187,74.39,12,10,892.6800000000001,803.412,160.68240000000003
188,23.11,20,15,462.2,392.87,78.57400000000001
189,46.64,6,5,279.84000000000003,265.848,53.1696
190,49.69,19,20,944.1099999999999,755.288,151.0576
191,41.04,8,20,328.32,262.656,52.531200000000005
192,54.74,3,10,164.22,147.798,29.559600000000003
193,16.95,12,15,203.39999999999998,172.89,34.577999999999996
194,88.29,13,20,1147.77,918.216,183.6432
195,30.51,11,15,335.61,285.2685,57.053700000000006
196,11.77,7,5,82.39,78.2705,15.6541
197,66.29,1,5,66.29,62.975500000000004,12.595100000000002
198,40.83,5,15,204.14999999999998,173.52749999999997,34.705499999999994
199,25.45,3,20,76.35,61.08,12.216000000000001
200,56.92,17,0,967.64,967.64,193.52800000000002
201,50.58,14,15,708.12,601.902,120.38040000000001
202,58.15,16,10,930.4,837.36,167.472
203,98.27,4,20,393.08,314.464,62.8928
204,64.78,19,0,1230.82,1230.82,246.164
205,5.3,2,10,10.6,9.54,1.908
206,21.0,7,5,147.0,139.65,27.930000000000003
207,61.42,16,10,982.72,884.4480000000001,176.88960000000003
208,96.71,19,20,1837.4899999999998,1469.992,293.9984
209,64.31,6,15,385.86,327.981,65.5962
210,53.05,18,20,954.9,763.9200000000001,152.78400000000002
211,6.16,5,10,30.8,27.720000000000002,5.5440000000000005
212,72.42,3,20,217.26,173.808,34.7616
213,8.63,15,10,129.45000000000002,116.50500000000002,23.301000000000005
214,34.35,3,20,103.05000000000001,82.44000000000001,16.488000000000003
215,57.71,17,20,981.07,784.8560000000001,156.97120000000004
216,44.15,8,5,353.2,335.53999999999996,67.10799999999999
217,58.09,2,5,116.18,110.371,22.0742
218,27.91,11,15,307.01,260.95849999999996,52.1917
219,22.64,6,20,135.84,108.67200000000001,21.734400000000004
220,25.79,1,0,25.79,25.79,5.158
221,7.9,7,10,55.300000000000004,49.77,9.954
222,6.2,3,10,18.6,16.740000000000002,3.3480000000000008
223,20.25,5,20,101.25,81.0,16.2
224,23.15,8,15,185.2,157.42,31.483999999999998
225,21.19,4,10,84.76,76.284,15.256800000000002
226,17.09,18,20,307.62,246.096,49.2192
227,61.53,4,20,246.12,196.89600000000002,39.379200000000004
228,64.56,13,10,839.28,755.352,151.0704
229,81.46,7,20,570.2199999999999,456.17599999999993,91.23519999999999
230,49.83,16,5,797.28,757.4159999999999,151.48319999999998
231,41.26,1,5,41.26,39.196999999999996,7.8393999999999995
232,74.84,19,20,1421.96,1137.568,227.5136
233,74.57,10,5,745.6999999999999,708.4149999999998,141.68299999999996
234,90.53,5,20,452.65,362.12,72.424
235,38.64,2,5,77.28,73.416,14.6832
236,23.61,4,5,94.44,89.71799999999999,17.9436
237,70.08,6,0,420.48,420.48,84.096
238,64.57,8,10,516.56,464.90399999999994,92.98079999999999
239,87.21,15,5,1308.1499999999999,1242.7424999999998,248.5485
240,42.91,10,10,429.09999999999997,386.19,77.238
241,58.02,10,10,580.2,522.1800000000001,104.43600000000002
242,88.27,4,20,353.08,282.464,56.4928
243,18.5,1,20,18.5,14.8,2.9600000000000004
244,51.92,12,5,623.04,591.8879999999999,118.37759999999999
245,81.38,18,0,1464.84,1464.84,292.968
246,42.3,20,10,846.0,761.4,152.28
247,99.89,9,15,899.01,764.1585,152.8317
248,73.9,11,15,812.9000000000001,690.965,138.193
249,9.05,16,5,144.8,137.56,27.512
250,79.17,7,15,554.19,471.0615,94.21230000000001
251,60.77,3,0,182.31,182.31,36.462
252,70.32,6,15,421.91999999999996,358.63199999999995,71.7264
253,35.87,11,20,394.57,315.656,63.13120000000001
254,15.15,5,5,75.75,71.96249999999999,14.392499999999998
255,80.73,17,15,1372.41,1166.5485,233.30970000000002
256,88.59,7,5,620.13,589.1234999999999,117.82469999999999
257,36.83,3,10,110.49,99.441,19.8882
258,12.7,11,15,139.7,118.74499999999999,23.749
259,25.78,6,15,154.68,131.478,26.295600000000004
260,46.48,19,0,883.1199999999999,883.1199999999999,176.624
261,24.62,12,20,295.44,236.352,47.2704
262,69.18,14,15,968.5200000000001,823.2420000000001,164.64840000000004
263,5.91,19,5,112.29,106.6755,21.3351
264,39.84,4,10,159.36,143.424,28.684800000000003
265,28.68,15,15,430.2,365.66999999999996,73.134
266,92.07,7,15,644.49,547.8165,109.56330000000001
267,40.94,16,15,655.04,556.784,111.3568
268,60.75,11,15,668.25,568.0124999999999,113.60249999999999
269,18.38,15,5,275.7,261.91499999999996,52.382999999999996
270,81.57,17,0,1386.6899999999998,1386.6899999999998,277.33799999999997
271,94.17,10,20,941.7,753.3600000000001,150.67200000000003
272,16.76,11,20,184.36,147.48800000000003,29.497600000000006
273,43.32,19,5,823.08,781.926,156.38520000000003
274,12.22,8,10,97.76,87.98400000000001,17.5968
275,72.53,14,10,1015.4200000000001,913.878,182.77560000000003
276,13.58,9,20,122.22,97.77600000000001,19.555200000000003
277,88.51,13,5,1150.63,1093.0985,218.61970000000002
278,69.48,13,5,903.24,858.078,171.6156
279,72.67,14,0,1017.38,1017.38,203.476
280,45.87,2,5,91.74,87.15299999999999,17.4306
281,79.55,13,0,1034.1499999999999,1034.1499999999999,206.82999999999998
282,81.0,20,0,1620.0,1620.0,324.0
283,93.15,12,15,1117.8000000000002,950.1300000000001,190.02600000000004
284,66.78,17,15,1135.26,964.971,192.9942
285,99.11,16,20,1585.76,1268.6080000000002,253.72160000000005
286,63.21,8,10,505.68,455.112,91.0224
287,89.8,3,0,269.4,269.4,53.879999999999995
288,87.54,3,15,262.62,223.227,44.6454
289,88.52,7,10,619.64,557.676,111.53520000000002
290,84.21,16,15,1347.36,1145.2559999999999,229.0512
291,24.56,8,20,196.48,157.184,31.4368
292,23.64,12,0,283.68,283.68,56.736000000000004
293,55.04,10,10,550.4,495.36,99.072
294,97.1,10,20,971.0,776.8000000000001,155.36
295,21.24,16,20,339.84,271.872,54.37440000000001
296,26.51,16,5,424.16,402.952,80.5904
297,85.31,19,5,1620.89,1539.8455000000001,307.9691
298,39.28,7,0,274.96000000000004,274.96000000000004,54.99200000000001
299,58.94,16,20,943.04,754.432,150.8864
300,99.99,4,20,399.96,319.968,63.99360000000001
301,51.8,5,0,259.0,259.0,51.800000000000004
302,81.39,11,20,895.29,716.232,143.2464
303,63.31,20,5,1266.2,1202.89,240.57800000000003
304,12.05,6,15,72.30000000000001,61.455000000000005,12.291000000000002
305,49.88,13,0,648.44,648.44,129.68800000000002
306,10.63,13,5,138.19,131.2805,26.2561
307,44.97,15,20,674.55,539.64,107.928
308,88.6,8,20,708.8,567.04,113.408
309,10.51,11,5,115.61,109.8295,21.9659
310,14.87,19,5,282.53,268.40349999999995,53.680699999999995
311,46.15,10,5,461.5,438.42499999999995,87.685
312,30.12,20,20,602.4,481.92,96.38400000000001
313,41.93,1,10,41.93,37.737,7.5474000000000006
314,63.29,5,0,316.45,316.45,63.29
315,64.75,16,0,1036.0,1036.0,207.20000000000002
316,40.65,9,20,365.84999999999997,292.68,58.536
317,21.27,1,15,21.27,18.0795,3.6159
318,9.83,7,20,68.81,55.048,11.0096
319,72.32,1,20,72.32,57.855999999999995,11.5712
320,73.8,10,15,738.0,627.3,125.46
321,13.51,14,5,189.14,179.683,35.9366
322,24.52,4,15,98.08,83.368,16.6736
323,23.57,1,20,23.57,18.856,3.7712000000000003
324,76.45,16,10,1223.2,1100.88,220.17600000000004
325,26.42,8,5,211.36,200.792,40.1584
326,63.26,1,5,63.26,60.096999999999994,12.0194
327,18.29,2,0,36.58,36.58,7.316
328,55.2,11,5,607.2,576.84,115.36800000000001
329,26.72,5,0,133.6,133.6,26.72
330,14.26,13,10,185.38,166.842,33.3684
331,39.42,8,5,315.36,299.592,59.9184
332,70.0,20,0,1400.0,1400.0,280.0
333,74.4,14,20,1041.6000000000001,833.2800000000002,166.65600000000006
334,88.98,9,10,800.82,720.738,144.1476
335,33.6,12,5,403.20000000000005,383.04,76.608
336,9.12,2,15,18.24,15.503999999999998,3.1007999999999996
337,14.75,19,15,280.25,238.2125,47.642500000000005
338,48.67,16,15,778.72,661.912,132.38240000000002
339,20.87,7,15,146.09,124.1765,24.835300000000004
340,62.58,14,5,876.12,832.314,166.46280000000002
341,70.66,8,10,565.28,508.752,101.75040000000001
342,18.59,7,5,130.13,123.62349999999999,24.7247
343,55.56,20,15,1111.2,944.52,188.904
344,65.99,8,20,527.92,422.336,84.4672
345,72.94,9,20,656.46,525.168,105.0336
346,63.52,9,10,571.6800000000001,514.5120000000001,102.90240000000001
347,88.55,5,5,442.75,420.61249999999995,84.1225
348,31.77,7,0,222.39,222.39,44.478
349,20.09,3,20,60.269999999999996,48.216,9.6432
350,73.95,9,10,665.5500000000001,598.9950000000001,119.79900000000004
351,40.63,9,5,365.67,347.3865,69.4773
352,75.1,18,10,1351.8,1216.62,243.32399999999998
353,26.75,5,10,133.75,120.375,24.075000000000003
354,14.69,18,5,264.42,251.199,50.2398
355,74.8,14,10,1047.2,942.48,188.496
356,99.23,3,10,297.69,267.921,53.5842
357,96.63,16,20,1546.08,1236.864,247.3728
358,28.15,2,10,56.3,50.67,10.134
359,46.79,6,20,280.74,224.592,44.918400000000005
360,74.85,14,10,1047.8999999999999,943.1099999999999,188.62199999999999
361,41.79,1,15,41.79,35.521499999999996,7.104299999999999
362,67.97,18,15,1223.46,1039.941,207.9882
363,82.55,20,0,1651.0,1651.0,330.20000000000005
364,66.93,13,10,870.0900000000001,783.0810000000001,156.61620000000005
365,96.69,11,10,1063.59,957.231,191.4462
366,93.22,18,15,1677.96,1426.266,285.25320000000005
367,96.61,4,0,386.44,386.44,77.28800000000001
368,24.41,10,15,244.1,207.48499999999999,41.497
369,66.99,8,15,535.92,455.5319999999999,91.1064
370,6.97,11,10,76.67,69.003,13.800600000000001
371,55.43,10,15,554.3,471.155,94.231
372,94.29,11,0,1037.19,1037.19,207.43800000000002
373,34.45,13,0,447.85,447.85,89.57000000000001
374,96.85,4,0,387.4,387.4,77.48
375,58.37,6,5,350.21999999999997,332.70899999999995,66.5418
376,70.82,19,5,1345.58,1278.301,255.6602
377,57.22,7,5,400.53999999999996,380.5129999999999,76.10259999999998
378,78.05,2,20,156.1,124.88,24.976
379,71.11,6,20,426.65999999999997,341.328,68.26559999999999
380,27.89,13,15,362.57,308.1845,61.636900000000004
381,80.39,2,20,160.78,128.624,25.724800000000002
382,29.44,19,15,559.36,475.456,95.09120000000001
383,19.75,4,10,79.0,71.10000000000001,14.220000000000002
384,20.06,9,0,180.54,180.54,36.108
385,16.57,13,5,215.41,204.6395,40.9279
386,33.1,3,15,99.30000000000001,84.405,16.881
387,68.43,2,10,136.86,123.17400000000002,24.634800000000006
388,89.94,5,15,449.7,382.245,76.449
389,25.48,7,0,178.36,178.36,35.672000000000004
390,50.38,6,10,302.28000000000003,272.052,54.41040000000001
391,32.17,16,0,514.72,514.72,102.94400000000002
392,69.95,10,20,699.5,559.6,111.92000000000002
393,62.27,7,10,435.89000000000004,392.30100000000004,78.46020000000001
394,38.9,3,15,116.69999999999999,99.195,19.839
395,43.7,3,15,131.10000000000002,111.43500000000002,22.287000000000006
396,24.65,2,20,49.3,39.44,7.888
397,82.26,14,0,1151.64,1151.64,230.32800000000003
398,59.08,18,0,1063.44,1063.44,212.68800000000002
399,13.64,18,0,245.52,245.52,49.104000000000006
400,95.74,13,15,1244.62,1057.927,211.5854
401,80.34,13,0,1044.42,1044.42,208.88400000000001
402,72.06,3,5,216.18,205.371,41.074200000000005
403,58.09,19,20,1103.71,882.9680000000001,176.59360000000004
404,50.86,18,5,915.48,869.706,173.9412
405,41.26,15,20,618.9,495.12,99.024
406,69.1,8,20,552.8,442.24,88.44800000000001
407,39.83,19,10,756.77,681.093,136.2186
408,44.97,5,0,224.85,224.85,44.97
409,14.67,17,5,249.39,236.92049999999998,47.3841
410,67.15,19,10,1275.8500000000001,1148.265,229.65300000000002
411,80.74,5,0,403.7,403.7,80.74000000000001
412,71.63,16,10,1146.08,1031.472,206.2944
413,37.99,19,0,721.8100000000001,721.8100000000001,144.36200000000002
414,18.8,6,20,112.80000000000001,90.24000000000001,18.048000000000002
415,49.84,10,0,498.40000000000003,498.40000000000003,99.68
416,13.21,15,10,198.15,178.335,35.667
417,64.12,5,20,320.6,256.48,51.29600000000001
418,13.96,5,5,69.80000000000001,66.31,13.262
419,20.4,20,0,408.0,408.0,81.60000000000001
420,10.55,1,20,10.55,8.440000000000001,1.6880000000000004
421,6.77,13,10,88.00999999999999,79.20899999999999,15.8418
422,20.32,9,10,182.88,164.592,32.918400000000005
423,23.01,4,15,92.04,78.23400000000001,15.646800000000002
424,71.29,16,15,1140.64,969.5440000000001,193.90880000000004
425,79.05,6,0,474.29999999999995,474.29999999999995,94.86
426,57.42,3,10,172.26,155.034,31.0068
427,89.72,9,0,807.48,807.48,161.496
428,26.07,10,5,260.7,247.66499999999996,49.532999999999994
429,89.75,11,10,987.25,888.525,177.705
430,20.17,10,0,201.70000000000002,201.70000000000002,40.34
431,41.78,18,5,752.04,714.438,142.8876
432,96.19,8,5,769.52,731.044,146.2088
433,38.03,15,0,570.45,570.45,114.09000000000002
434,16.92,20,15,338.40000000000003,287.64000000000004,57.52800000000001
435,11.2,4,20,44.8,35.839999999999996,7.167999999999999
436,75.98,5,0,379.90000000000003,379.90000000000003,75.98
437,58.42,14,5,817.88,776.986,155.3972
438,97.84,13,10,1271.92,1144.728,228.9456
439,37.86,19,5,719.34,683.373,136.67460000000003
440,49.79,7,15,348.53,296.2505,59.2501
441,99.72,14,10,1396.08,1256.472,251.2944
442,47.77,7,10,334.39000000000004,300.951,60.190200000000004
443,8.06,14,15,112.84,95.914,19.1828
444,14.15,16,5,226.4,215.07999999999998,43.016
445,85.33,19,15,1621.27,1378.0795,275.6159
446,99.21,2,15,198.42,168.65699999999998,33.7314
447,74.96,14,5,1049.4399999999998,996.9679999999997,199.39359999999996
448,97.42,20,0,1948.4,1948.4,389.68000000000006
449,95.96,5,10,479.79999999999995,431.82,86.364
450,49.02,1,15,49.02,41.667,8.333400000000001
451,7.7,19,15,146.3,124.355,24.871000000000002
452,46.81,11,20,514.9100000000001,411.9280000000001,82.38560000000003
453,47.42,19,0,900.98,900.98,180.19600000000003
454,90.05,9,15,810.4499999999999,688.8824999999999,137.7765
455,21.9,15,5,328.5,312.075,62.415
456,63.83,1,5,63.83,60.63849999999999,12.127699999999999
457,79.65,5,20,398.25,318.6,63.720000000000006
458,89.04,14,15,1246.5600000000002,1059.576,211.91520000000003
459,46.66,4,20,186.64,149.31199999999998,29.862399999999997
460,77.75,10,10,777.5,699.75,139.95000000000002
461,81.3,20,15,1626.0,1382.1,276.42
462,44.72,19,5,849.68,807.1959999999999,161.4392
463,83.92,13,0,1090.96,1090.96,218.192
464,62.4,4,10,249.6,224.64,44.928
465,72.0,20,5,1440.0,1368.0,273.6
466,61.22,2,20,122.44,97.952,19.590400000000002
467,49.95,6,0,299.70000000000005,299.70000000000005,59.94000000000001
468,87.37,19,5,1660.0300000000002,1577.0285000000001,315.4057
469,25.48,6,10,152.88,137.592,27.518400000000003
470,52.35,1,20,52.35,41.88,8.376000000000001
471,91.52,8,10,732.16,658.944,131.7888
472,7.28,3,10,21.84,19.656,3.9312
473,44.94,6,20,269.64,215.712,43.1424
474,34.43,11,10,378.73,340.857,68.1714
475,69.5,14,5,973.0,924.3499999999999,184.87
476,33.75,1,0,33.75,33.75,6.75
477,31.38,4,5,125.52,119.24399999999999,23.848799999999997
478,76.09,9,20,684.8100000000001,547.8480000000001,109.56960000000002
479,16.18,3,5,48.54,46.113,9.2226
480,62.73,12,20,752.76,602.208,120.4416
481,6.65,10,0,66.5,66.5,13.3
482,72.38,13,20,940.9399999999999,752.752,150.5504
483,63.84,11,20,702.24,561.792,112.35840000000002
484,15.47,5,0,77.35000000000001,77.35000000000001,15.470000000000002
485,65.39,12,10,784.6800000000001,706.2120000000001,141.24240000000003
486,74.28,16,10,1188.48,1069.632,213.92640000000003
487,98.13,15,20,1471.9499999999998,1177.56,235.512
488,90.95,20,5,1819.0,1728.05,345.61
489,85.23,20,10,1704.6000000000001,1534.14,306.82800000000003
490,85.47,20,15,1709.4,1452.99,290.598
491,72.22,8,5,577.76,548.872,109.7744
492,58.66,20,5,1173.1999999999998,1114.5399999999997,222.90799999999996
493,51.49,15,0,772.35,772.35,154.47000000000003
494,82.05,19,20,1558.95,1247.16,249.43200000000002
495,62.55,18,0,1125.8999999999999,1125.8999999999999,225.17999999999998
496,92.54,7,15,647.7800000000001,550.613,110.12260000000002
497,60.66,1,15,60.66,51.56099999999999,10.312199999999999
498,47.42,17,5,806.14,765.833,153.1666
499,54.43,8,10,435.44,391.896,78.37920000000001
500,22.91,19,0,435.29,435.29,87.058
501,33.41,9,5,300.68999999999994,285.6554999999999,57.13109999999998
502,40.74,11,10,448.14000000000004,403.326,80.66520000000001
503,30.62,4,0,122.48,122.48,24.496000000000002
504,54.81,17,20,931.77,745.416,149.0832
505,58.97,2,20,117.94,94.352,18.8704
506,88.66,4,10,354.64,319.176,63.8352
507,92.9,9,20,836.1,668.8800000000001,133.77600000000004
508,25.92,18,20,466.56000000000006,373.24800000000005,74.6496
509,10.74,5,5,53.7,51.015,10.203000000000001
510,61.71,11,0,678.8100000000001,678.8100000000001,135.76200000000003
511,40.18,1,20,40.18,32.144,6.4288
512,97.66,10,10,976.5999999999999,878.9399999999999,175.788
513,6.28,12,15,75.36,64.056,12.8112
514,80.86,16,5,1293.76,1229.072,245.81439999999998
515,10.18,3,20,30.54,24.432000000000002,4.886400000000001
516,25.81,6,0,154.85999999999999,154.85999999999999,30.971999999999998
517,27.78,3,0,83.34,83.34,16.668000000000003
518,39.38,18,10,708.84,637.956,127.59120000000001
519,42.98,14,5,601.7199999999999,571.6339999999999,114.32679999999999
520,55.57,10,20,555.7,444.56000000000006,88.91200000000002
521,62.7,16,10,1003.2,902.8800000000001,180.57600000000002
522,84.43,16,15,1350.88,1148.248,229.64960000000002
523,19.0,13,10,247.0,222.3,44.46000000000001
524,63.39,12,10,760.6800000000001,684.6120000000001,136.9224
525,76.44,6,20,458.64,366.91200000000003,73.3824
526,19.23,1,15,19.23,16.3455,3.2691000000000003
527,90.51,2,10,181.02,162.918,32.583600000000004
528,97.62,18,10,1757.16,1581.4440000000002,316.28880000000004
529,57.45,20,20,1149.0,919.2,183.84000000000003
530,25.38,8,0,203.04,203.04,40.608000000000004
531,19.16,9,15,172.44,146.57399999999998,29.314799999999998
532,33.67,14,5,471.38,447.811,89.5622
533,26.44,17,10,449.48,404.53200000000004,80.90640000000002
534,72.73,1,15,72.73,61.8205,12.3641
535,73.44,18,20,1321.92,1057.536,211.5072
536,95.66,3,5,286.98,272.63100000000003,54.52620000000001
537,82.85,4,5,331.4,314.83,62.966
538,97.92,17,20,1664.64,1331.7120000000002,266.34240000000005
539,75.34,13,15,979.4200000000001,832.5070000000001,166.50140000000002
540,31.67,2,0,63.34,63.34,12.668000000000001
541,27.09,6,20,162.54,130.032,26.006400000000003
542,12.36,4,15,49.44,42.023999999999994,8.4048
543,63.25,15,10,948.75,853.875,170.775
544,33.1,14,5,463.40000000000003,440.23,88.046
545,10.27,13,15,133.51,113.48349999999999,22.6967
546,49.64,15,20,744.6,595.6800000000001,119.13600000000002
547,62.88,19,10,1194.72,1075.248,215.04960000000003
548,92.02,12,5,1104.24,1049.028,209.80560000000003
549,90.79,2,10,181.58,163.42200000000003,32.684400000000004
550,19.11,16,10,305.76,275.184,55.03680000000001
551,59.39,20,0,1187.8,1187.8,237.56
552,90.25,5,5,451.25,428.6875,85.73750000000001
553,18.34,8,20,146.72,117.376,23.4752
554,34.13,12,20,409.56000000000006,327.6480000000001,65.52960000000002
555,56.59,12,0,679.08,679.08,135.816
556,40.62,18,15,731.16,621.486,124.2972
557,44.79,4,15,179.16,152.286,30.4572
558,45.91,9,5,413.18999999999994,392.5304999999999,78.50609999999999
559,5.36,19,0,101.84,101.84,20.368000000000002
560,49.31,12,15,591.72,502.962,100.5924
561,55.23,1,15,55.23,46.945499999999996,9.3891
562,39.41,10,10,394.09999999999997,354.69,70.938
563,53.61,13,5,696.93,662.0835,132.4167
564,47.17,5,5,235.85000000000002,224.0575,44.8115
565,77.65,8,20,621.2,496.96000000000004,99.39200000000001
566,51.65,20,20,1033.0,826.4000000000001,165.28000000000003
567,19.78,14,10,276.92,249.228,49.845600000000005
568,84.72,12,15,1016.64,864.144,172.8288
569,29.15,14,15,408.09999999999997,346.88499999999993,69.377
570,55.18,11,0,606.98,606.98,121.39600000000002
571,71.1,4,15,284.4,241.73999999999998,48.348
572,46.58,6,10,279.48,251.532,50.306400000000004
573,9.51,16,20,152.16,121.72800000000001,24.345600000000005
574,38.3,10,15,383.0,325.55,65.11
575,68.97,11,5,758.67,720.7365,144.1473
576,25.58,10,15,255.79999999999998,217.42999999999998,43.486
577,36.12,20,0,722.4,722.4,144.48
578,22.47,19,10,426.92999999999995,384.23699999999997,76.8474
579,41.07,12,10,492.84000000000003,443.55600000000004,88.71120000000002
580,19.27,15,5,289.05,274.5975,54.919500000000006
581,36.93,4,10,147.72,132.948,26.589600000000004
582,56.48,1,5,56.48,53.65599999999999,10.7312
583,25.27,9,10,227.43,204.687,40.937400000000004
584,71.41,1,20,71.41,57.128,11.425600000000001
585,7.86,5,10,39.300000000000004,35.370000000000005,7.074000000000002
586,56.08,13,10,729.04,656.136,131.2272
587,8.34,11,5,91.74,87.15299999999999,17.4306
588,72.03,11,5,792.33,752.7135,150.5427
589,21.72,12,10,260.64,234.576,46.9152
590,95.2,3,10,285.6,257.04,51.40800000000001
591,23.73,4,0,94.92,94.92,18.984
592,54.25,19,5,1030.75,979.2125,195.8425
593,75.16,3,10,225.48,202.932,40.5864
594,71.25,8,5,570.0,541.5,108.30000000000001
595,68.85,5,15,344.25,292.6125,58.52250000000001
596,6.38,12,15,76.56,65.076,13.0152
597,46.64,11,20,513.04,410.432,82.08640000000001
598,67.15,1,20,67.15,53.720000000000006,10.744000000000002
599,95.51,18,0,1719.18,1719.18,343.836
600,42.29,6,0,253.74,253.74,50.748000000000005
601,83.77,10,15,837.6999999999999,712.045,142.409
602,54.85,14,5,767.9,729.505,145.901
603,15.41,10,10,154.1,138.69,27.738
604,94.24,1,0,94.24,94.24,18.848
605,86.92,2,5,173.84,165.148,33.0296
606,40.38,20,20,807.6,646.08,129.216
607,98.99,2,0,197.98,197.98,39.596000000000004
608,7.66,17,20,130.22,104.176,20.8352
609,67.21,4,15,268.84,228.51399999999998,45.702799999999996
610,45.32,12,15,543.84,462.264,92.45280000000001
611,60.34,2,20,120.68,96.54400000000001,19.308800000000005
612,90.44,16,10,1447.04,1302.336,260.4672
613,16.72,17,15,284.24,241.604,48.320800000000006
614,49.39,11,5,543.29,516.1255,103.2251
615,51.9,14,15,726.6,617.61,123.522
616,24.47,4,20,97.88,78.304,15.660800000000002
617,69.39,18,15,1249.02,1061.667,212.33339999999998
618,6.36,17,10,108.12,97.308,19.461600000000004
619,69.35,17,15,1178.9499999999998,1002.1074999999998,200.42149999999998
620,95.34,4,5,381.36,362.292,72.4584
621,33.85,15,10,507.75,456.975,91.39500000000001
