ID,Prix,Quantite,Remise
398,46.89,2,5
399,85.58,9,20
400,85.44,18,5
401,31.83,16,5
402,83.97,10,20
403,68.36,11,20
404,98.93,16,20
405,87.7,10,20
406,81.58,20,5
407,85.21,16,20
408,95.54,5,10
409,34.99,5,5
410,70.98,14,0
411,80.25,12,10
412,62.07,9,15
413,66.16,11,0
414,62.88,4,10
415,20.39,19,10
416,71.01,3,10
417,55.55,8,15
418,5.98,5,10
419,83.01,12,10
420,62.43,6,20
421,83.82,3,0
422,86.94,9,20
423,30.89,1,5
424,27.72,5,10
425,87.16,4,5
426,18.78,15,10
427,97.99,8,15
428,75.68,15,15
429,65.54,13,10
430,9.29,9,5
431,11.36,9,5
432,68.52,13,15
433,13.47,13,20
434,50.52,4,15
435,76.22,18,15
436,22.18,9,5
437,20.12,3,0
438,15.96,16,0
439,81.51,18,10
440,52.39,4,5
441,57.04,12,10
442,85.95,15,10
443,68.42,2,15
444,20.22,9,0
445,5.87,8,0
446,74.41,15,20
447,97.84,3,5
448,41.19,13,20
449,47.0,6,15
450,61.23,10,15
451,83.74,5,0
452,42.62,11,5
453,27.22,17,15
454,23.08,6,10
455,18.12,10,0
456,66.83,8,20
457,79.46,8,20
458,19.91,17,10
459,69.16,13,15
460,40.4,7,5
461,99.18,20,15
462,74.1,7,5
463,27.62,19,20
464,84.42,6,0
465,87.44,18,5
466,40.61,1,0
467,18.37,12,20
468,54.39,11,15
469,98.65,7,15
470,26.45,5,10
471,74.45,17,20
472,61.07,13,15
473,6.19,11,5
474,89.94,8,10
475,39.65,2,15
476,33.14,20,20
477,78.17,4,10
478,71.66,20,20
479,21.43,14,20
480,68.21,20,10
481,75.95,17,20
482,88.05,15,0
483,20.29,17,10
484,21.18,12,5
485,52.56,19,0
486,71.82,12,0
487,74.46,19,15
488,5.96,11,15
489,10.75,17,15
490,57.95,18,0
491,21.25,11,5
492,56.14,1,20
493,98.34,18,20
494,84.76,1,5
495,38.73,3,10
496,76.36,12,0
497,8.0,3,0
498,46.6,16,20
499,32.87,13,0
500,43.41,12,20
501,54.21,10,5
502,5.06,20,15
503,47.52,16,0
504,56.16,14,20
505,59.88,2,20
506,72.49,14,0
507,25.57,12,15
508,12.47,16,10
509,59.83,6,10
510,77.58,18,5
511,45.39,12,5
512,88.9,12,20
513,67.39,7,5
514,62.81,16,5
515,7.87,18,15
516,96.64,6,5
517,63.41,17,10
518,75.01,20,10
519,78.47,14,10
520,33.04,8,10
521,21.33,6,0
522,59.14,8,0
523,50.46,13,10
524,23.78,12,15
525,98.24,18,20
526,53.05,20,10
527,42.77,5,20
528,49.21,10,15
529,88.25,3,20
530,94.56,1,15
531,37.93,4,15
532,54.18,3,10
533,20.67,11,0
534,42.24,18,10
535,25.08,11,10
536,69.75,4,5
537,79.2,8,20
538,76.5,10,20
539,88.1,10,15
540,98.39,9,10
541,20.17,4,15
542,28.87,10,5
543,62.31,10,15
544,10.89,11,0
545,43.86,6,0
546,45.57,7,20
547,27.83,3,0
548,56.31,17,20
549,58.11,14,20
550,27.93,1,5
551,74.85,4,20
552,57.29,9,10
553,74.8,18,0
554,59.63,8,10
555,82.9,5,10
556,47.99,13,15
557,17.64,12,20
558,57.16,17,15
559,65.29,1,5
560,76.91,14,0
561,16.67,9,0
562,78.52,7,10
563,76.08,17,0
564,50.58,15,10
565,37.91,6,5
566,17.87,16,10
567,73.36,17,15
568,93.57,11,0
569,61.31,2,5
570,65.38,4,0
571,12.13,17,5
572,82.97,4,10
573,84.63,14,0
574,69.61,11,15
575,59.76,19,5
576,50.44,14,5
577,96.26,14,5
578,59.87,4,15
579,25.17,1,0
580,10.68,19,20
581,30.02,14,5
582,87.14,18,5
583,75.54,15,0
584,96.87,2,15
585,85.54,19,15
586,36.36,17,0
587,51.89,7,0
588,90.37,15,15
589,28.14,4,15
590,43.99,20,15
591,38.42,7,5
592,60.44,1,5
593,24.88,3,20
594,97.62,12,5
595,76.75,16,5
596,46.14,12,0
597,21.19,8,20
598,21.07,5,15
599,69.56,6,0
600,90.66,18,0
601,55.38,5,0
602,39.13,1,5
603,47.56,2,10
604,49.02,10,5
605,34.52,4,0
606,21.45,20,10
607,61.96,15,0
608,82.76,4,0
609,96.9,15,5
610,47.27,4,0
611,99.13,19,5
612,97.52,3,5
613,30.16,11,15
614,28.91,4,5
615,15.38,20,15
616,43.8,18,0
617,47.43,18,0
618,19.36,15,20
619,51.32,14,20
620,90.71,8,0
621,56.24,10,5
622,29.08,8,15
623,97.44,2,20
624,62.82,2,5
625,38.58,20,20
626,66.16,7,0
627,50.9,4,10
628,5.16,13,0
629,94.75,9,15
630,54.97,12,0
631,52.65,7,15
632,27.29,20,5
633,28.64,5,20
634,95.49,20,20
635,66.94,13,0
636,46.31,3,5
637,65.93,17,20
638,31.22,15,15
639,5.84,13,5
640,79.22,13,10
641,17.04,7,0
642,59.28,8,20
643,35.65,6,20
644,66.46,4,15
645,81.43,6,10
646,62.21,15,0
647,25.81,8,10
648,15.52,9,5
649,34.24,3,5
650,99.41,6,5
651,35.56,19,10
652,9.93,5,0
653,20.54,1,15
654,80.53,1,15
655,53.87,16,15
656,10.59,5,0
657,20.25,20,10
658,7.74,7,10
659,62.25,8,5
660,44.32,11,20
661,75.75,14,0
662,39.14,6,15
663,70.22,4,20
664,20.96,18,20
665,73.36,11,5
666,12.9,16,10
667,45.29,9,20
668,84.58,12,10
669,28.63,11,15
670,99.23,17,0
671,61.98,13,5
672,98.9,1,20
673,7.1,9,20
674,60.33,5,20
675,48.74,11,15
676,6.51,6,20
677,17.75,6,0
678,11.94,13,15
679,23.38,4,5
680,59.04,20,10
681,96.98,13,10
682,58.93,10,10
683,75.36,10,0
684,75.34,8,15
685,32.65,2,10
686,17.18,13,10
687,5.14,10,0
688,36.71,8,0
689,50.98,6,5
690,57.38,13,15
691,26.1,9,15
692,48.97,8,10
693,28.56,15,10
694,48.9,1,5
695,62.21,4,5
696,16.54,19,10
697,97.62,18,0
698,48.28,19,15
699,22.25,17,5
700,76.92,13,5
701,5.11,13,0
702,99.49,15,15
703,43.6,9,15
704,94.35,20,5
705,67.11,2,0
706,40.82,2,0
707,87.3,2,10
708,13.91,11,5
709,51.98,12,5
710,79.62,2,5
711,25.81,9,5
712,68.51,5,5
713,88.43,16,5
714,63.18,16,15
715,70.84,7,15
716,42.83,16,20
717,46.2,19,5
718,19.25,12,15
719,34.91,16,0
720,88.64,7,20
721,19.14,11,5
722,47.5,7,15
723,37.9,13,5
724,69.07,4,10
725,6.17,10,0
726,69.02,8,15
727,60.6,20,20
728,68.78,14,5
729,95.97,9,10
730,65.31,10,15
731,85.73,20,0
732,30.76,7,15
733,9.69,3,10
734,64.26,9,20
735,85.06,17,5
736,82.16,8,15
737,71.85,5,15
738,19.09,20,5
739,86.93,4,15
740,96.93,10,0
741,80.72,10,20
742,73.14,5,20
743,19.22,6,10
744,20.16,1,15
745,76.87,15,10
746,96.93,7,20
747,31.53,20,5
748,71.6,13,5
749,20.46,9,10
750,69.89,8,0
751,17.53,15,0
752,28.46,9,20
753,15.69,1,5
754,20.63,1,5
755,79.38,5,20
756,17.1,12,15
757,76.68,2,5
758,94.2,15,10
759,89.85,2,20
760,57.13,4,20
761,56.83,8,10
762,13.56,11,0
763,98.88,6,5
764,85.35,3,15
765,66.64,13,5
766,57.34,3,5
767,49.15,14,5
768,64.59,13,20
769,23.62,10,0
770,87.15,20,15
771,51.17,14,20
772,37.6,9,15
773,83.58,3,5
774,90.93,11,15
775,70.11,12,15
776,5.13,11,0
777,55.47,19,20
778,84.02,19,15
779,95.62,8,0
780,15.91,11,15
781,98.24,4,10
782,6.68,7,20
783,47.2,11,20
784,85.0,16,0
785,35.22,19,15
786,70.59,13,10
787,37.44,20,10
788,17.97,8,15
789,67.49,5,5
790,34.51,19,0
791,25.83,11,10
792,85.52,3,5
793,10.71,2,20
794,37.51,14,20
795,44.22,17,0
796,17.57,12,20
797,95.82,17,5
798,80.91,9,10
799,10.9,1,10
800,99.77,2,0
801,48.92,9,20
802,55.65,14,5
803,88.61,8,5
804,16.99,16,10
805,30.78,17,15
806,93.26,15,10
807,13.53,18,0
808,12.24,2,5
809,55.27,5,10
810,25.5,13,10
811,71.72,19,5
812,7.92,17,20
813,48.01,3,5
814,77.83,4,5
815,32.84,4,15
816,71.29,10,5
817,94.32,5,5
818,87.15,3,15
819,88.01,9,15
820,18.73,2,5
821,66.3,9,10
822,69.44,9,5
823,52.72,11,20
824,53.39,4,20
825,96.29,1,10
826,37.63,5,20
827,28.34,5,5
828,56.22,5,15
829,98.34,18,20
830,27.76,11,0
831,9.5,15,15
832,69.62,14,15
833,48.04,19,15
834,50.93,5,10
835,60.27,7,10
836,67.9,19,0
837,42.71,5,5
838,40.27,20,5
839,89.28,20,5
840,90.83,20,15
841,95.8,14,10
842,59.22,1,10
843,53.75,12,5
844,66.62,20,20
845,17.17,10,5
846,86.63,7,5
847,72.89,19,10
848,19.23,19,20
849,35.08,13,0
850,56.69,2,20
851,65.68,1,20
852,74.47,12,20
853,97.94,15,15
854,48.98,15,15
855,11.0,12,0
856,72.89,2,15
857,20.78,20,5
858,41.93,3,20
859,8.51,6,5
860,78.65,15,0
861,93.85,6,15
862,19.48,11,0
863,32.14,17,20
864,61.83,17,0
865,44.82,20,15
866,40.63,4,15
867,42.69,15,0
868,36.94,13,0
869,35.91,10,15
870,93.71,16,15
871,23.62,9,5
872,92.52,10,10
873,80.76,18,0
874,13.56,11,15
875,11.41,4,15
876,81.45,17,0
877,63.07,20,10
878,54.33,14,15
879,65.36,1,5
880,19.89,9,0
881,10.62,10,10
882,8.58,14,20
883,84.09,13,0
884,89.58,20,15
885,16.16,1,10
886,39.2,12,20
887,30.38,8,15
888,39.7,17,15
889,92.6,13,20
890,48.58,17,20
891,28.87,11,10
892,35.92,15,5
893,25.71,8,15
894,86.01,2,15
895,22.36,11,15
896,76.41,17,5
897,46.3,5,20
898,67.22,1,5
899,59.06,3,20
900,33.69,5,20
901,85.52,6,10
902,31.28,2,10
903,96.38,16,10
904,75.66,19,20
905,34.23,2,15
906,14.09,18,15
907,27.55,15,0
908,58.15,20,0
909,39.29,10,15
910,37.2,1,20
911,90.01,6,10
912,87.8,19,15
913,61.08,17,5
914,40.64,14,15
915,17.24,2,20
916,41.75,4,15
917,45.7,13,10
918,41.66,3,15
919,73.94,19,20
920,23.31,11,0
921,8.93,9,10
922,49.04,6,20
923,68.55,14,20
924,20.22,13,20
925,41.52,2,0
926,60.84,8,20
927,99.75,20,0
928,25.6,15,20
929,69.42,14,5
930,40.74,13,15
931,15.23,6,0
932,41.25,18,5
933,92.18,10,20
934,23.65,7,20
935,56.28,8,5
936,16.59,16,0
937,84.21,8,15
938,21.22,6,0
939,74.14,5,15
940,40.13,14,20
941,92.07,2,5
942,40.55,1,20
943,10.86,7,20
944,21.17,12,20
945,61.57,9,20
946,80.1,11,0
947,99.08,1,20
948,25.48,10,20
949,40.55,7,10
950,83.52,20,20
951,32.55,20,20
952,19.23,18,0
953,46.7,8,20
954,24.5,2,5
955,34.48,3,5
956,74.53,7,20
957,21.23,10,15
958,95.99,16,15
959,47.94,15,0
960,89.29,12,15
961,18.57,14,5
962,72.46,16,15
963,12.9,16,5
964,87.87,2,10
965,64.56,18,20
966,91.92,17,10
967,78.86,17,0
968,22.22,15,0
969,52.24,6,10
970,73.83,10,5
971,73.49,11,15
972,91.26,4,0
973,66.65,20,0
974,92.17,9,5
975,43.89,12,0
976,33.12,16,5
977,58.71,15,0
978,93.16,9,20
979,13.76,15,15
980,53.42,13,10
981,36.23,3,0
982,57.57,12,10
983,94.65,12,0
984,50.97,10,0
985,56.66,11,15
986,18.17,11,5
987,96.47,16,10
988,82.32,1,10
989,6.75,17,20
990,20.51,16,10
991,53.57,14,10
992,38.26,2,20
993,64.98,2,10
994,48.81,17,15
995,98.01,14,0
996,73.74,19,10
997,64.83,3,5
998,99.16,5,0
999,61.46,2,15
1000,47.94,11,0
1001,47.33,20,10
1002,69.87,10,5
1003,83.83,2,10
1004,80.75,12,20
1005,32.39,2,20
1006,73.73,16,15
1007,95.24,15,5
1008,24.07,5,0
1009,67.08,4,15
1010,53.12,15,10
1011,72.22,16,0
1012,58.17,1,5
1013,58.37,18,0
1014,88.89,14,0
1015,78.84,18,20
1016,83.08,13,10
1017,63.06,2,0
1018,43.26,2,20
1019,42.64,13,20
1020,39.41,18,0
1021,61.49,20,10
1022,18.57,4,20
1023,8.99,20,10
1024,32.83,20,20
1025,83.77,15,15
1026,40.63,6,15
1027,74.35,13,0
1028,88.61,20,15
1029,59.11,17,5
1030,59.32,3,10
1031,17.92,13,0
1032,54.11,13,20
1033,20.38,17,5
1034,81.35,8,20
1035,46.85,12,20
1036,25.54,19,5
1037,77.88,9,0
1038,6.24,4,20
1039,71.91,16,20
1040,39.31,18,0
1041,66.81,17,15
1042,82.31,18,20
1043,27.95,8,5
1044,12.03,6,10
1045,65.39,7,10
1046,10.22,2,5
1047,78.75,16,0
1048,23.76,13,20
1049,30.36,1,15
1050,88.32,10,15
1051,45.03,1,5
1052,12.56,14,5
1053,95.08,5,5
1054,98.52,9,15
1055,47.09,17,5
1056,95.32,7,10
1057,18.9,14,10
1058,72.37,17,10
1059,34.9,18,15
1060,93.1,12,5
1061,89.07,7,15
1062,26.27,12,5
1063,97.58,10,0
1064,39.95,6,15
1065,22.01,15,15
1066,65.66,11,15
1067,63.08,12,10
1068,77.63,11,15
1069,40.66,18,20
1070,6.02,9,5
1071,87.25,1,20
1072,9.81,18,5
1073,54.85,6,5
1074,21.13,4,0
1075,92.08,17,5
1076,46.24,9,0
1077,44.65,3,10
1078,10.26,13,5
1079,88.29,19,15
1080,72.13,7,20
1081,16.09,17,5
1082,67.74,16,20
1083,55.84,14,20
1084,77.86,18,5
1085,24.18,13,0
1086,16.42,16,10
1087,9.46,15,10
1088,99.09,6,10
1089,58.65,1,10
1090,70.64,20,15
1091,90.99,7,15
1092,58.0,18,20
1093,72.19,9,20
1094,54.57,15,15
1095,45.62,2,5
1096,5.85,16,5
1097,20.81,7,15
1098,98.79,18,20
1099,91.29,19,10
1100,79.04,19,20
1101,62.23,16,0
1102,46.19,10,0
1103,45.49,19,15
1104,95.74,18,5
1105,57.84,15,10
1106,20.71,8,0
1107,12.26,20,0
1108,6.24,1,0
1109,39.99,8,20
1110,96.82,10,0
1111,26.44,6,15
1112,26.88,18,10
1113,97.16,15,5
1114,91.23,12,5
1115,45.51,4,10
1116,55.51,12,10
1117,54.98,19,20
1118,94.92,7,0
1119,25.65,20,0
1120,18.13,10,10
1121,76.33,8,5
1122,80.22,19,20
1123,45.84,12,15
1124,47.61,16,10
1125,82.43,19,0
1126,17.15,10,20
1127,58.4,11,10
1128,56.49,2,15
1129,5.17,9,10
1130,37.58,11,20
1131,5.05,17,15
1132,12.84,1,0
1133,23.78,3,20
